date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:05:26	238/238	---M--	404	error ('NOT%20FOUND')	text/html	date:Mon,%2017%20Jul%202017%2014:05:26%20GMT	http://letsfreecongress.org/robots.txt		(from )
15:05:26	20060/20060	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jul%202017%2014:05:26%20GMT	http://letsfreecongress.org/	C:/congress_site/congres/letsfreecongress.org/index.html	(from )
15:05:26	2504/2504	---M--	200	added ('OK')	text/css	etag:%22flask-1366860013.0-2504-3523087497%22	http://letsfreecongress.org/static/css/normalize.min.css	C:/congress_site/congres/letsfreecongress.org/static/css/normalize.min.css	(from http://letsfreecongress.org/)
15:05:27	6394/6394	---M--	200	added ('OK')	text/css	etag:%22flask-1366860013.0-6394-2017921399%22	http://letsfreecongress.org/static/css/style.css	C:/congress_site/congres/letsfreecongress.org/static/css/style.css	(from http://letsfreecongress.org/)
15:05:27	24671/24671	---M--	200	added ('OK')	text/css	etag:%22flask-1366860013.0-24671-3508145274%22	http://letsfreecongress.org/static/css/lopsided-full.css	C:/congress_site/congres/letsfreecongress.org/static/css/lopsided-full.css	(from http://letsfreecongress.org/)
15:05:28	19484/19484	---M--	200	added ('OK')	application/javascript	etag:%22flask-1366860013.0-19484-1669993437%22	http://letsfreecongress.org/static/js/vendor/modernizr-2.6.2-respond-1.1.0.min.js	C:/congress_site/congres/letsfreecongress.org/static/js/vendor/modernizr-2.6.2-respond-1.1.0.min.js	(from http://letsfreecongress.org/)
15:05:28	17585/17585	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2017%20Jul%202017%2014:05:29%20GMT	http://use.typekit.net/zht1thr.js	C:/congress_site/congres/use.typekit.net/zht1thr.js	(from http://letsfreecongress.org/)
15:05:30	201942/201942	---M-Z	200	added ('OK')	application/x-javascript	etag:%22f3e1d11079cb63cb338018847aece3ba%22	http://connect.facebook.net/en_GB/all.js	C:/congress_site/congres/connect.facebook.net/en_GB/all.js	(from http://letsfreecongress.org/)
15:05:31	0/0	---M--	301	error ('TLS%20Redirect')	text/html	date:Mon,%2017%20Jul%202017%2014:05:31%20GMT	http://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg	C:/congress_site/congres/en.wikipedia.org/wiki/File_Capitol_Building_Full_View.6.delayed	(from http://letsfreecongress.org/)
15:05:32	83136/83136	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Jul%202017%2019:26:24%20GMT	https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg	C:/congress_site/congres/en.wikipedia.org/wiki/File_Capitol_Building_Full_View.html	(from http://letsfreecongress.org/)
15:05:33	73907/73907	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2022%20Jun%202017%2006:40:24%20GMT	http://act.unitedrepublic.org/resources/actionkit.js	C:/congress_site/congres/act.unitedrepublic.org/resources/actionkit.js	(from http://letsfreecongress.org/)
15:05:37	239743/239743	---M--	200	added ('OK')	image/svg+xml	etag:%22flask-1366860013.0-239743-1086001049%22	http://letsfreecongress.org/static/img/Capitol_Building_high.svg	C:/congress_site/congres/letsfreecongress.org/static/img/Capitol_Building_high.svg	(from http://letsfreecongress.org/static/css/lopsided-full.css)
15:05:38	238/238	---M--	404	error ('NOT%20FOUND')	text/html	date:Mon,%2017%20Jul%202017%2014:05:38%20GMT	http://letsfreecongress.org/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	C:/congress_site/congres/letsfreecongress.org/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from http://connect.facebook.net/en_GB/all.js)
15:05:39	238/238	---M--	404	error ('NOT%20FOUND')	text/html	date:Mon,%2017%20Jul%202017%2014:05:39%20GMT	http://letsfreecongress.org/%s/profile.php?id=%s	C:/congress_site/congres/letsfreecongress.org/%s/profile4d6d.php	(from http://connect.facebook.net/en_GB/all.js)
15:05:40	1419/1419	---M--	200	added ('OK')	image/png	etag:%2258b-547955b4f9667%22	https://en.wikipedia.org/static/apple-touch/wikipedia.png	C:/congress_site/congres/en.wikipedia.org/static/apple-touch/wikipedia.png	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:05:42	47433/47433	---M--	200	added ('OK')	image/png	etag:%22flask-1366860013.0-47433-3751087374%22	http://letsfreecongress.org/static/img/grey_wash_wall.png	C:/congress_site/congres/letsfreecongress.org/static/img/grey_wash_wall.png	(from http://letsfreecongress.org/static/css/lopsided-full.css)
15:05:43	0/0	---M--	301	error ('TLS%20Redirect')	text/html	date:Mon,%2017%20Jul%202017%2014:05:43%20GMT	http://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Commons-logo.svg/15px-Commons-logo.svg.png	C:/congress_site/congres/upload.wikimedia.org/wikipedia/en/thumb/4/4a/Commons-logo.svg/15px-Commons-logo.svg.10.delayed	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:05:43	76720/76720	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Jul%202017%2008:47:43%20GMT	https://commons.wikimedia.org/wiki/File:Capitol_Building_Full_View.jpg	C:/congress_site/congres/commons.wikimedia.org/wiki/File_Capitol_Building_Full_View.html	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:05:43	721/721	---M--	200	added ('OK')	image/png	etag:9fc7e3f24db02d32feee5284bc9d6c80	https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Commons-logo.svg/15px-Commons-logo.svg.png	C:/congress_site/congres/upload.wikimedia.org/wikipedia/en/thumb/4/4a/Commons-logo.svg/15px-Commons-logo.svg.png	(from https://en.wikipedia.org/wiki/File:Capitol_Building_Full_View.jpg)
15:05:43	93435/93435	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.8.2/jquery.min.js	C:/congress_site/congres/ajax.googleapis.com/ajax/libs/jquery/1.8.2/jquery.min.js	(from http://letsfreecongress.org/)
